version 1, schema trait_level_effects_tables
Trait_Level_IDRef(string)	Effect_IDRef(string)	Magnitude(float)
"C_Admiral_Attack_Bad_1"	"Command_Sea_Attack"	-1
"C_Admiral_Attack_Bad_2"	"Command_Sea_Attack"	-2
"C_Admiral_Attack_Bad_3"	"Command_Sea_Attack"	-2
"C_Admiral_Attack_Good_1"	"Command_Sea_Attack"	1
"C_Admiral_Attack_Good_2"	"Command_Sea_Attack"	2
"C_Admiral_Attack_Good_3"	"Command_Sea_Attack"	3
"C_Admiral_Attack_Good_4"	"Command_Sea_Attack"	4
"C_Admiral_Attack_Good_5"	"Command_Sea_Attack"	4
"C_Admiral_Blockade_Runner_1"	"Command_Sea_Frigates"	1
"C_Admiral_Blockade_Runner_2"	"Command_Sea_Frigates"	1
"C_Admiral_Blockade_Runner_2"	"morale_bonus"	1
"C_Admiral_Blockade_Runner_3"	"Command_Sea_Frigates"	1
"C_Admiral_Blockade_Runner_3"	"morale_bonus"	1
"C_Admiral_Blockader_Good_1"	"Command_Sea_Frigates"	1
"C_Admiral_Blockader_Good_2"	"Command_Sea_Frigates"	2
"C_Admiral_Blockader_Good_3"	"Command_Sea_Frigates"	2
"C_Admiral_Boring_Speaker_2"	"morale_bonus"	-1
"C_Admiral_Born_Sailor_2"	"mod_ship_movement_campaign"	5
"C_Admiral_Born_Sailor_3"	"mod_ship_movement_campaign"	5
"C_Admiral_Brave_1"	"morale_bonus"	1
"C_Admiral_Brave_2"	"morale_bonus"	1
"C_Admiral_Brave_3"	"morale_bonus"	2
"C_Admiral_Brave_4"	"morale_bonus"	3
"C_Admiral_Brave_5"	"morale_bonus"	4
"C_Admiral_Brave_5"	"prestige_military_generic"	1
"C_Admiral_British_Drakes_Drum_1"	"mod_ship_movement_campaign"	5
"C_Admiral_British_Drakes_Drum_2"	"mod_ship_movement_campaign"	5
"C_Admiral_British_Drakes_Drum_2"	"morale_bonus"	1
"C_Admiral_British_Drakes_Drum_3"	"mod_ship_movement_campaign"	5
"C_Admiral_British_Drakes_Drum_3"	"morale_bonus"	2
"C_Admiral_Coward_1"	"morale_bonus"	-1
"C_Admiral_Coward_2"	"morale_bonus"	-2
"C_Admiral_Coward_3"	"morale_bonus"	-3
"C_Admiral_Coward_4"	"morale_bonus"	-3
"C_Admiral_Cruisers_1"	"Command_Sea_Frigates"	1
"C_Admiral_Cruisers_2"	"Command_Sea_Frigates"	2
"C_Admiral_Cruisers_3"	"Command_Sea_Frigates"	3
"C_Admiral_Defender_Bad_1"	"Command_Sea_Defence"	-1
